energy, number of points
0.024216,21.000000
0.024174,21.000000
0.017256,21.000000
0.064064,21.000000
0.063975,21.000000
0.058367,21.000000
0.058283,21.000000
0.049501,21.000000
0.067560,21.000000
0.067470,21.000000
0.067381,21.000000
0.018224,21.000000
0.018188,21.000000
0.018151,21.000000
0.011782,21.000000
0.051263,21.000000
0.051186,21.000000
0.070582,21.000000
0.070492,21.000000
0.071041,21.000000
0.072660,21.000000
0.072567,21.000000
0.072474,21.000000
0.012005,21.000000
0.011976,21.000000
0.011946,21.000000
0.019512,21.000000
0.061998,21.000000
0.061918,21.000000
0.056586,21.000000
0.056507,21.000000
0.078376,21.000000
0.057736,21.000000
0.057650,21.000000
0.057565,21.000000
0.019420,21.000000
0.019381,21.000000
0.019343,21.000000
0.024571,21.000000
0.050909,21.000000
0.050837,21.000000
0.036479,21.000000
0.036419,21.000000
0.061013,21.000000
0.070900,21.000000
0.070804,21.000000
0.070709,21.000000
0.028798,21.000000
0.028751,21.000000
0.028706,21.000000
0.018758,21.000000
0.030518,21.000000
0.030465,21.000000
0.041807,21.000000
0.041748,21.000000
0.070202,21.000000
0.085689,21.000000
0.085583,21.000000
0.085477,21.000000
0.024382,21.000000
0.024342,21.000000
0.024301,21.000000
0.021118,21.000000
0.033433,21.000000
0.033383,21.000000
0.039855,21.000000
0.039797,21.000000
0.085944,21.000000
0.066670,21.000000
0.066577,21.000000
0.066484,21.000000
0.024363,21.000000
0.024318,21.000000
0.024274,21.000000
0.037608,21.000000
0.033879,21.000000
0.033828,21.000000
0.021977,21.000000
0.021935,21.000000
0.067018,21.000000
0.062480,21.000000
0.062391,21.000000
0.062303,21.000000
0.042480,21.000000
0.042419,21.000000
0.042358,21.000000
0.039888,21.000000
0.019080,21.000000
0.019043,21.000000
0.018363,21.000000
0.058655,21.000000
0.079873,21.000000
0.079774,21.000000
0.079675,21.000000
0.047640,21.000000
0.047577,21.000000
0.047513,21.000000
0.032668,21.000000
0.014095,21.000000
0.014067,21.000000
0.023155,21.000000
0.023117,21.000000
0.074646,21.000000
0.066647,21.000000
0.066558,21.000000
0.066470,21.000000
0.037962,21.000000
0.037901,21.000000
0.037840,21.000000
0.048690,21.000000
0.019168,21.000000
0.019133,21.000000
0.017610,21.000000
0.017576,21.000000
0.063352,21.000000
0.047859,21.000000
0.047785,21.000000
0.047711,21.000000
0.052074,21.000000
0.051999,21.000000
0.062667,21.000000
0.017956,21.000000
0.017922,21.000000
0.010746,21.000000
0.010721,21.000000
0.042763,21.000000
0.058454,21.000000
0.058376,21.000000
0.058299,21.000000
0.068348,21.000000
0.068261,21.000000
0.068174,21.000000
0.049634,21.000000
0.012019,21.000000
0.011994,21.000000
0.013639,21.000000
0.013611,21.000000
0.050464,21.000000
0.055507,21.000000
0.055432,21.000000
0.054634,21.000000
0.054556,21.000000
0.054477,21.000000
0.053584,21.000000
0.013410,21.000000
0.013381,21.000000
0.021094,21.000000
0.021056,21.000000
0.049533,21.000000
0.033224,21.000000
0.033168,21.000000
0.033113,21.000000
0.054529,21.000000
